sentence1,sentence2,sentence3,sentence4,sentence5,event,emotional,label,normal
He found that everyone was safe and secure in their houses.,The water collected to from a big river that ran through the town.,The mayor canoed through the new river to check on his residents.,A great storm came through a town after weeks of no rainy .,All the people thanked the mayor for checking in.,"canoed,collected,thanked,checking,check,ran","storm, rainy",1.0,"canoed,collected,thanked,checking,check,ranstorm, rainy"
They fell down the storm drain.,While walking there I dropped my keys.,I had no way to get them out.,I left my house at noon for work .,I was very sad after.,"dropped,left,walking",,2.0,"dropped,left,walking"
I decided to take lessons so that I could play as beautifully.,I went to a piano concert and fell in love with the instrument.,My instructor said I had become a great pianist.,I practiced every day for years .,I finally had my own piano concert after all that work.,"practiced,become,fell,said","fell, love, practiced, finally",0.0,"practiced,become,fell,saidfell, love, practiced, finally"
It was Christmas morning .,And felt ill the rest of the day .,She was sick before breakfast.,"Becky dug into her stocking candy, eating a lot.",Becky no longer likes candy as much anymore.,"ill,felt,likes,eating","ill, sick",2.0,"ill,felt,likes,eatingill, sick"
He wished he could skate as well as them.,[NEUTRAL] became one of the best skaters at the skatepark .,He learned how to do tricks very quickly.,[NEUTRAL] loved to watch people skate at the skatepark .,[NEUTRAL] eventually decided to get his own skateboard .,"skate,became,learned,watch,loved","loved, watch",2.0,"skate,became,learned,watch,lovedloved, watch"
[NEUTRAL] was a new kid at school .,[NEUTRAL] beats [NEUTRAL] by 20 points .,He decided to challenge [NEUTRAL] to a game .,Nobody could match his level of skill.,[NEUTRAL] was the best basketball player at school .,"challenge,match,beats","challenge, basketball",2.0,"challenge,match,beatschallenge, basketball"
So I went to the store and bought a bunch of yarn.,I love to knit in my spare time as I find it relaxing.,I found out that I can knit baby blankets fairly quickly.,I have many friends that are having babies and I need to get gifts.,Now I am busy making baby blankets that are a perfect gift.,"knit,relaxing,need,love","love, found, baby, baby, perfect, gift",0.0,"knit,relaxing,need,lovelove, found, baby, baby, perfect, gift"
I put laundry away.,I put everyone's clothes away in their dressers.,There were three loads piled up waiting to be folded .,"I folded it all, then stacked it in piles.","By the time I was done, I was ready for a nap.","folded,stacked,piled,waiting,put","piles, nap",2.0,"folded,stacked,piled,waiting,putpiles, nap"
[NEUTRAL] decided he would bring his school to the zoo .,Even when he was a young boy he would beg to go.,One day in high school the students could make a field trip .,Ari always loved going to the zoo.,Everyone had fun at the zoo.,"fun,beg,loved","young, boy, beg, trip, loved, fun",0.0,"fun,beg,lovedyoung, boy, beg, trip, loved, fun"
And other students saw the beautiful shell.,"He liked it so much, that he brought it to school.",[NEUTRAL] found a seashell on the beach .,And it looked so beautiful that he decided to keep it.,"The next day , Someone grabbed it from him and ran away .","grabbed,keep,brought,liked,ran,looked","liked, found, beach, beautiful",2.0,"grabbed,keep,brought,liked,ran,lookedliked, found, beach, beautiful"
[NEUTRAL] was proud that he accomplished his goal .,[NEUTRAL] wanted to learn Spanish .,"By the end of the class , he was speaking Spanish fluently .",He decided to take a Spanish class .,He practiced the language diligently every day .,"speaking,practiced,learn",practiced,2.0,"speaking,practiced,learnpracticed"
He yelled at them and chased them away.,My parents came from China .,He bought candy Year 's later when he learned about Halloween .,My dad did not know about Halloween .,One day some kids knocked on his door for candy .,"knocked,learned,know",,2.0,"knocked,learned,know"
She tried but fell on the floor.,"No one was home, and she couldn't get up.",[NEUTRAL] was on the floor for hours until her husband came home .,[NEUTRAL] ate so much food she got very fat .,She couldn't get off the couch without some help.,ate,"food, fat, couch",0.0,"atefood, fat, couch"
Her entire plan was ruined and she had to put the food back.,She had a bunch of coupons and her list was built around them.,"At check out, she learned that her coupons had expired.",She spent nearly an hour clearing her cart .,[NEUTRAL] was at the store .,"expired,clearing,built,learned,spent",,2.0,"expired,clearing,built,learned,spent"
The flood pushed him all the way down the street!,"[NEUTRAL] looked at the canoe in his yard , thinking about running to it .","He couldn't reach it in time, the flood hit him.","Luckily , [NEUTRAL] can swim , so he did n't panic .",There was a flood coming down the street.,"swim,reach,hit,thinking,running,looked","flood, hit, swim, panic, flood",2.0,"swim,reach,hit,thinking,running,lookedflood, hit, swim, panic, flood"
They live there and are very happy.,The [NEUTRAL] family moved .,It took 6 months for it to be built .,They bought a house in Fairfield .,It is a 3 bedroom 2 bath house .,"built,moved",,2.0,"built,moved"
He folded the paper and sealed it in an envelope.,Franklin wanted to send a birthday card to his grandmother .,Franklin dropped the envelope into the mailbox .,He colored a picture on a piece of paper.,He wrote a nice birthday message to his grandmother.,"colored,send,wrote,dropped","birthday, birthday",2.0,"colored,send,wrote,droppedbirthday, birthday"
I got fed up and decided to buy some mechanical pencils.,My pencil broke.,"Then, my sharpener broke.",I decided to sharpen it.,"Now, I didn't have to deal with sharpeners so I was happy!","sharpen,deal,broke","broke, broke, sharpen, deal, happy",0.0,"sharpen,deal,brokebroke, broke, sharpen, deal, happy"
He was so excited.,Ryan was going to the zoo with his parents.,He could not wait!,Ryan loved the zoo!,He ended up having an amazing time.,"ended,wait,loved",loved,2.0,"ended,wait,lovedloved"
He researched different gyms in his hometown.,Now [NEUTRAL] is in terrific shape .,[NEUTRAL] decided to start working out this year .,[NEUTRAL] [NEUTRAL] found a gym that was perfect for him .,He started going regularly.,"working,started,start","terrific, found, perfect",0.0,"working,started,startterrific, found, perfect"
[NEUTRAL] rode his bike to his friend 's house .,[NEUTRAL] left his bike on the sidewalk near the street .,[NEUTRAL] thought his bike had been stolen .,But [NEUTRAL] 's mom had driven by and taken the bike home .,When [NEUTRAL] came out to go home his bike was missing !,"stolen,missing,driven,thought,left","stolen, missing",2.0,"stolen,missing,driven,thought,leftstolen, missing"
[NEUTRAL] wanted to meet his friends out for a trip to the bar .,"Once he was read, he left for the bar.","Once he spoke to them, he began to get ready.",It didn't take long to get ready.,He called them all up individually.,"spoke,read,began,called,left",,2.0,"spoke,read,began,called,left"
He saw a man fall to the ground.,[NEUTRAL] was walking down the sidewalk .,The man was holding his chest.,[NEUTRAL] called 911 .,[NEUTRAL] 's quick actions saved the man 's life .,"holding,saved,called,walking",,2.0,"holding,saved,called,walking"
He watched the rainy for a bit.,He got out the soap and towels and the hose.,He decided to wash the car in the rainy to save on water.,[NEUTRAL] was planning to wash his car today .,"Just when he was ready to turn on the water, it starting raining!","planning,wash,raining,save,turn,starting","rainy, save",1.0,"planning,wash,raining,save,turn,startingrainy, save"
"Even though Louis had the flu , he did n't eat meatloaf for a long time .",Louis loved to eat meatloaf.,One day Louis got really sick after eating his meatloaf .,He made it at least once a week at home .,He was sick for a week and ended up having the flu .,"ended,eat,eating,loved","loved, sick, sick, flu",0.0,"ended,eat,eating,lovedloved, sick, sick, flu"
Kyle was leaving to pick up his sister from work .,He looked through every room in his house but still couldn't find it.,When he got to the car he realized he was missing his keys.,He decided to check his dirty clothes basket.,He found his keys in the pocket of the pants he wore yesterday .,"missing,check,wore,realized,looked","missing, dirty, found",2.0,"missing,check,wore,realized,lookedmissing, dirty, found"
Got in his car and headed to work.,[NEUTRAL] got to work .,Made a some eggs for himself.,Francis woke up too go too work.,He took a shower and got ready.,"Made,woke,work",,2.0,"Made,woke,work"
"One day , a very bad storm hit [NEUTRAL] 's town .",The maple tree in the yard fell over from the storm's wind.,[NEUTRAL] loved to read under a maple tree in his yard .,"Seeing [NEUTRAL] 's sadness , his mother helped him plant a new maple tree .",[NEUTRAL] was sad he lost his favorite place to read .,"Seeing,read,lost,helped,fell,loved","tree, fell, storm, loved, tree, sadness, mother, tree, lost, favorite",2.0,"Seeing,read,lost,helped,fell,lovedtree, fell, storm, loved, tree, sadness, mother, tree, lost, favorite"
She saw that eggs and cheese were on sale.,She decided to go to the store for milk.,"She bought milk, eggs, and cheese.",Amy was out of milk .,Amy spent too much money at the store and was n't able to go out later .,spent,money,2.0,spentmoney
"After a week of looking , I gave up hope that she would return .","One day as I was coming home from work , my cat ran out the front door .",I looked for her for hours that day .,My white cat had turned a dirty brown from being out in the wild!,"To my surprise , she came back to the front door after two whole weeks !","turned,ran,looked","white, dirty, wild, surprise",0.0,"turned,ran,lookedwhite, dirty, wild, surprise"
She stayed sitting for hours .,It decided to sleep on her lap.,[NEUTRAL] got a new kitty .,[NEUTRAL] thought it looked too cute to move .,Eventually her legs fell asleep before she moved.,"sleep,moved,move,fell,thought,looked",fell,1.0,"sleep,moved,move,fell,thought,lookedfell"
She had a big party.,All her friends came.,It was a lot of fun.,Jan 's birthday was last weekend .,She had a lot of food and games.,,"fun, birthday, food",0.0,"fun, birthday, food"
The screen broke on it.,In my excitement I dropped my phone on the ground.,I got a call from a friend yesterday .,It still works but looks terrible.,It made a loud crack.,"dropped,works,looks","excitement, friend, terrible",0.0,"dropped,works,looksexcitement, friend, terrible"
The newspaper was outside.,He got out of his car.,My dad got home from work.,He took it inside the house.,He picked the newspaper up.,picked,,2.0,picked
She took her temperature and saw that she had a fever.,The dance was this Friday and she hoped she 'd get better by then .,[NEUTRAL] crawled in bed and pulled the covers over her .,[NEUTRAL] was n't feeling well when she got home from school .,She poured herself a glass of orange juice and went to her room.,"crawled,poured,hoped,feeling,pulled","dance, feeling",2.0,"crawled,poured,hoped,feeling,pulleddance, feeling"
But [NEUTRAL] was getting tired of seeking .,So he decided to go inside and watch TV.,[NEUTRAL] got tired of hiding and saw [NEUTRAL] watching TV inside .,[NEUTRAL] and [NEUTRAL] were playing hide and seek .,[NEUTRAL] was angry that he gave up .,"tired,watching,gave,playing,saw","watch, hiding, hide, angry",2.0,"tired,watching,gave,playing,sawwatch, hiding, hide, angry"
His wife tried to say goodbye.,His wife thought he was angry at her.,[NEUTRAL] was running late for work .,[NEUTRAL] accidentally slammed the door shut on his way out .,They were able to talk things out.,"slammed,talk,thought,running","angry, late, accidentally",2.0,"slammed,talk,thought,runningangry, late, accidentally"
[NEUTRAL] 's car was dirty .,[NEUTRAL] had to wash his car again when it stopped raining .,"Afterwards, it started to rainy.",He took it to the car wash.,He cleaned his car through the self-serve car wash.,"rainy,wash,raining,cleaned,stopped,started",rainy,1.0,"rainy,wash,raining,cleaned,stopped,startedrainy"
The next day he decided to try !,He really wished he knew how to do it himself.,Robbie watched his mom making the sandwich.,He was so proud of himself when he saw his finished sandwich!,"His mom always told him to ask for help, but he wanted to do it.","wished,watched,knew,ask,saw",proud,1.0,"wished,watched,knew,ask,sawproud"
Stuart was running from the cops in his dirt bike .,"When he got back to his home, he had his bag of cash.",He had the cops chase him through a cemetery.,"A little later , he got a knock on his door from the cops .",He lost them in the forest outside of town.,"chase,lost","cash, cemetery, lost",0.0,"chase,lostcash, cemetery, lost"
[NEUTRAL] and his friends wanted to take a trip .,They had a great time together!,They decided to go fishing together.,They fished all day and camped at night .,They loaded up their gear and drove to Minnesota .,"loaded,camped,fished,drove",,2.0,"loaded,camped,fished,drove"
Annie had a few pet fish .,She bought a new fish food for them.,Annie liked feeding her little pets .,She fed them one more time before bed .,"Whenever she sprinkled it in, the fish went crazy.","sprinkled,feeding,fed,liked","food, liked, crazy",2.0,"sprinkled,feeding,fed,likedfood, liked, crazy"
I would really like to move in.,I found a cute 3 bedroom down the street .,I looked at a larger apartment the other day .,It is right in my price range too.,I hope my husband likes it.,"hope,likes,looked","found, larger, hope",0.0,"hope,likes,lookedfound, larger, hope"
One day [NEUTRAL] went to the Brooklyn Bridge .,She walked along it for a while.,She loved the view of the water and the city.,Then she went back to her hotel.,She had a great day .,"walked,loved",loved,2.0,"walked,lovedloved"
I threw them into the backyard towards my dog.,He went mad with excitement and I felt happy!,He loved to play with tennis balls.,I was playing with my dog in the backyard.,I decided to grab twenty balls from the garage .,"grab,felt,playing,play,loved","mad, excitement, happy, loved, grab",2.0,"grab,felt,playing,play,lovedmad, excitement, happy, loved, grab"
We have been rehearsing for two months .,Tonight is opening night and everyone is telling me to break a leg .,A community theater held open auditions for my favorite musical.,"I had never been in a plays before, but I couldn't pass this up.",I got a part in the show.,"held,pass,opening,break","break, favorite, musical",2.0,"held,pass,opening,breakbreak, favorite, musical"
He was getting dressed.,[NEUTRAL] 's date laughed at his clothes .,[NEUTRAL] put on clothes that did n't match .,He picked up his date.,[NEUTRAL] was getting ready for a date .,"match,laughed,picked,put",,2.0,"match,laughed,picked,put"
We enjoyed our beach day.,My dog ran quickly to fetch it.,Today I took my dog to the beach .,We sat in the sand and enjoyed the sun.,I threw a frisbee down the sand.,"fetch,enjoyed,threw,sat,ran","beach, sun",2.0,"fetch,enjoyed,threw,sat,ranbeach, sun"
[NEUTRAL] bought some boxed pasta .,"Then, she put a pot on the stove.","When she was done, she ate her pasta.",She followed the instructions to cook the pasta.,She got all of the ingredients out on the counter.,"followed,cook,ate,put",,2.0,"followed,cook,ate,put"
"When they got to the building 's wall , [NEUTRAL] felt nervous .",His friends wanted to spray paint a building so Jerome went with them .,[NEUTRAL] and his friends wore dark clothes and snuck out .,"Once they began spray painting , [NEUTRAL] took off and ran .","His friends began to call him names , but [NEUTRAL] felt better .","spray,snuck,began,felt,call",dark,2.0,"spray,snuck,began,felt,calldark"
[NEUTRAL] [NEUTRAL] [NEUTRAL] but did n't know how to let him know .,He agreed.,Sara and [NEUTRAL] have been seeing a lot of each other lately .,She asked [NEUTRAL] if he wanted to go to the fair .,They both went and had a wonderful time.,"agreed,seeing,asked",wonderful,2.0,"agreed,seeing,askedwonderful"
She quickly ordered pizza instead.,All the food burned.,She wasn't paying attention.,"Luckily, Pizza is the family's favorite food.",[NEUTRAL] cooked dinner for her family .,"burned,cooked,paying","food, favorite, food",0.0,"burned,cooked,payingfood, favorite, food"
[NEUTRAL] and his girlfriend were going out to a movie .,They got in their car and began to drive.,The couple turned around and went back home.,They spent an hour getting nicely dressed up .,They turned on the radio and heard the theater was closed from rain.,"dressed,closed,spent,heard,turned,began,drive",,1.0,"dressed,closed,spent,heard,turned,began,drive"
"I had never eaten a bug before , but yesterday was different .",Yesterday I ate a bug .,I poured a bowl of cereal and took a big bite.,I must admit that bugs are quite tasty in breakfast cereal.,Then I noticed the bugs running around in my bowl.,"admit,poured,noticed,ate,running",bug,2.0,"admit,poured,noticed,ate,runningbug"
The theater worker told her she bought the last one.,[NEUTRAL] went to go see a popular movie on a Friday night .,She waited in a long line to get her ticket.,Everyone behind her became angry.,When she made it to the front she asked for the movie.,"became,waited,see,asked",angry,2.0,"became,waited,see,askedangry"
"The doctor gave Fred some medicine , and Fred got well again .",[NEUTRAL] took [NEUTRAL] to the doctor .,"One day , Fred got sick .",[NEUTRAL] had an old dog named [NEUTRAL] .,Fred was Todd 's best friend .,named,"sick, friend",2.0,"namedsick, friend"
"Immediately the father began to feel better , and [NEUTRAL] was thrilled .",His father told him that he was not feeling well.,"[NEUTRAL] took the cake to his father , and his father ate a slice .",[NEUTRAL] woke up one morning to a call from his father .,[NEUTRAL] decided that he would stay home from work and bake him a cake .,"bake,feeling,stay,woke",feeling,2.0,"bake,feeling,stay,wokefeeling"
At the next table over were two parents with their toddler .,Samantha and her family were eating at a restaurant.,He was screaming.,He wanted more french fries .,Samantha had to leave because it was too loud.,"screaming,leave,eating","screaming, leave",2.0,"screaming,leave,eatingscreaming, leave"
Dad was very angry and said it must go back to the shop.,[NEUTRAL] said she had to go out but would take it back later .,[NEUTRAL] 's [NEUTRAL] bought a new dog without telling Dad .,He said it could stay.,"When she got home , [NEUTRAL] was cuddling the dog .","cuddling,stay,said",,2.0,"cuddling,stay,said"
He told me to take some medicine.,The medicine made me feel better.,I was feeling bad.,He said I had the flu.,"So, I went to the doctor.","feeling,feel,said","feeling, bad, flu",0.0,"feeling,feel,saidfeeling, bad, flu"
Today I threw a rock at a bird .,I hope my dad does not ground me for breaking the window.,My dad is going to be mad when he gets home.,I accidentally hit my dad's window and it broke.,I missed the bird entirely.,"ground,hope,missed,hit,breaking,broke","hope, mad, accidentally, hit, broke",2.0,"ground,hope,missed,hit,breaking,brokehope, mad, accidentally, hit, broke"
[NEUTRAL] went up on stage nervously .,She began talking.,She had a big speech to make.,"But to her surprise, nobody could hear her.",The microphone was broken!,"talking,hear,broken,began","surprise, broken",2.0,"talking,hear,broken,begansurprise, broken"
Brent wanted a girlfriend.,One finally said yes .,So he asked out a lot of girls.,"After a few months , [NEUTRAL] was sad .",His girlfriend snored.,"snored,said,asked",finally,2.0,"snored,said,askedfinally"
[NEUTRAL] got a job and saved for months .,Her parents told her she would have to pay for it herself.,[NEUTRAL] picked out a car but it cost way more than her allowance .,[NEUTRAL] wanted a to buy her first car .,[NEUTRAL] went and bought her new car with her own money .,"cost,pay,picked","pay, money",2.0,"cost,pay,pickedpay, money"
[NEUTRAL] went on a fishing trip to Lake Erie .,He went out on the lake in his boat.,He casted out his fishing pole and waited.,He gave up on fishing and went home.,A fish grabbed his bait he lost his fishing pole.,"casted,grabbed,lost,waited,gave","bait, lost",2.0,"casted,grabbed,lost,waited,gavebait, lost"
Soon there were lots of snowflake all around her.,She saw a snowflake fall from the sky.,Katie caught some snowflakes on her tongue.,[NEUTRAL] was playing outside one day .,She played in the falling snow until dinnertime.,"falling,caught,playing,played,saw","fall, falling",2.0,"falling,caught,playing,played,sawfall, falling"
They were both angry at what the other had said about them.,They screamed for an hour and then [NEUTRAL] slammed down the phone .,The friend yelled back.,[NEUTRAL] was so angry .,She called her friend and started to yell at her.,"slammed,screamed,yelled,yell,called,started","friend, angry, friend, yell",2.0,"slammed,screamed,yelled,yell,called,startedfriend, angry, friend, yell"
[NEUTRAL] signed up for camp .,[NEUTRAL] told her dad that it was n't fair for her to be forced to babysit,[NEUTRAL] wanted to go to summer camp .,[NEUTRAL] 's dad agreed that it was unfair .,[NEUTRAL] 's step mother told her she had to stay home that summer to babies,"babysit,forced,agreed,stay","forced, unfair, mother",2.0,"babysit,forced,agreed,stayforced, unfair, mother"
"She found a few that were okay, but nothing great.","Suddenly, she saw a perfect pumpkin.",She put it in a wheelbarrow and brought it to her car.,She wandered around the patch checking pumpkins.,Steph was in a pumpkin patch .,"wandered,brought,put,saw",perfect,2.0,"wandered,brought,put,sawperfect"
They made her breakfast in bed.,"They squirted ketchup on the toast, too.",My wife was surprised but couldn't eat as she is allergic to tomatoes.,They covered the eggs in ketchup to make them red.,My kids wanted to surprise my wife on Valentine 's Day .,"squirted,covered,surprise,eat","toast, surprised, surprise",2.0,"squirted,covered,surprise,eattoast, surprised, surprise"
I decided I wanted to read a nonfiction book this afternoon .,The drive there was simple and quick.,"After thinking about different books, I decided on store and left.",I took my book home and proceeded to read it.,Once at the store I was able to find my book quickly and check out.,"proceeded,read,check,thinking,left",,2.0,"proceeded,read,check,thinking,left"
We try to do a lot around Christmas .,Plus you don't pay for it.,You get to have fun.,Those are the best ones.,This Christmas we will go to only free events .,pay,"pay, fun",2.0,"paypay, fun"
I had no idea why it was pink or near my yard.,It was pink.,I went in and noticed a spill can of paint.,It wasn't until later that I noticed the open garage door.,The other day I saw a pink squirrel .,"noticed,saw",,2.0,"noticed,saw"
The guy offered [NEUTRAL] half the price that [NEUTRAL] asked .,The caller asked [NEUTRAL] to meet him Somewhere to buy the car .,[NEUTRAL] said some dirty words to him and drove off .,[NEUTRAL] got a call about the car he was trying to sell .,[NEUTRAL] drove over to meet him right away .,"sell,meet,drove,said,trying,asked","dirty, words",1.0,"sell,meet,drove,said,trying,askeddirty, words"
She needed to open the window up.,She tried for a long time.,Finally her brother opened it.,But she couldn't open it.,Allie was getting warm.,"open,opened,tried",,2.0,"open,opened,tried"
He waited for a windy day to fly his kite .,He ordered one off of eBay .,[NEUTRAL] wanted to fly a kite .,His kite flew away and got stuck in a tree.,He got it in the mail 2 days later .,"ordered,stuck,flew,fly","kite, kite, tree",2.0,"ordered,stuck,flew,flykite, kite, tree"
[NEUTRAL] went outside to play tennis .,She had to lay down with ice on her face that night.,"Even still , she woke with a puffy black eye the next morning .",[NEUTRAL] fell down and howled in pain !,She was having fun until the ball hit her in the face.,"howled,lay,hit,woke,fell","black, fell, pain, fun, hit",2.0,"howled,lay,hit,woke,fellblack, fell, pain, fun, hit"
[NEUTRAL] kept a pet rock and took it on walks every day .,He would pretend to have adventures with it on the walk.,Some of them would even walk with him with their own pet rocks.,His neighbors found the adventures entertaining to watch.,One day a neighbor even gave him a second rock !,"entertaining,pretend,watch,gave,walk","found, entertaining, watch",2.0,"entertaining,pretend,watch,gave,walkfound, entertaining, watch"
One of his friends suggested he try out for the jump rope team .,"He studied very hard in school, but didn't seem to do well in sports.",He tried out and made the team.,Greg was not a very athletic boy.,Greg turned out to love jump rope and was one of the best on the team.,"studied,seem,turned,tried,love","boy, love, jump",2.0,"studied,seem,turned,tried,loveboy, love, jump"
He had a nice clean uniform.,There was a lot of mud.,He went to play in the dirty playground.,"So at the end of the day , he got mud all over his uniform .",[NEUTRAL] went to private school .,play,"dirty, playground",2.0,"playdirty, playground"
Becky 's husband left her for a younger woman when she was pregnant .,Becky just had a baby.,She changed the baby's diaper and rocked it to sleep.,Becky laid down again hoping for a few minutes of rest .,Becky tried to sleep for a few minutes but the baby started crying .,"rocked,hoping,laid,changed,crying,sleep,started,tried","baby, baby, diaper, baby, crying",2.0,"rocked,hoping,laid,changed,crying,sleep,started,triedbaby, baby, diaper, baby, crying"
The pavement was covered with snow.,Rochelle slipped on a patch of ice underneath the snow .,Rochelle walked outside on an icy December night .,She earned the nickname [NEUTRAL] because she scraped her nose .,She fell down and went face first into the ice and snow.,"scraped,earned,slipped,fell,walked","nose, fell",2.0,"scraped,earned,slipped,fell,walkednose, fell"
The couple gave their guests Japanese Betta fish as gifts .,I filled the perfect bowl with water for it when I got home.,I tried to pour the fish in the bowl but it went down the drain.,Before 911 I went to beautiful Black and White wedding .,I carried that beautiful fish on plane for safekeeping.,"beautiful,safekeeping,pour,carried,filled,tried","perfect, beautiful, beautiful",2.0,"beautiful,safekeeping,pour,carried,filled,triedperfect, beautiful, beautiful"
[NEUTRAL] came around the corner of the house with one last gift .,[NEUTRAL] had bought [NEUTRAL] a new wagon .,"His sister , [NEUTRAL] , had broken his old wagon .",[NEUTRAL] [NEUTRAL] wanted a new toy wagon for his birthday,"On his birthday , [NEUTRAL] opened his presents , but there was no wagon .","opened,broken","broken, birthday, birthday",0.0,"opened,brokenbroken, birthday, birthday"
We fell deeper in love and grew very close to each other.,I loved to travel with him every chance I got.,To this day we are madly in love and together often.,He traveled all over the world with his job.,I fell in love with the man of my dreams.,"traveled,travel,fell,loved","loved, chance, love, fell, love",0.0,"traveled,travel,fell,lovedloved, chance, love, fell, love"
[NEUTRAL] and her husband went on their trip .,Her husband did not think they could afford it.,She found a trip they could buy.,She looked online to find a good deal.,[NEUTRAL] wanted to go on a trip .,"afford,think,looked","found, trip, good, deal, trip",0.0,"afford,think,lookedfound, trip, good, deal, trip"
She thinks she is a pretty girl now.,She worked hard and lost 40 pounds .,She was fat.,None of the boys liked her.,[NEUTRAL] wanted to be a pretty girl .,"lost,liked,worked","lost, fat, liked, pretty",0.0,"lost,liked,workedlost, fat, liked, pretty"
One day the park all the picnic benches were full we had one .,After they had lets us operate the police car lights and siren .,These two police officers has come up and ask if they could join us .,When I was a boy my parents used to take my brother and I to the park.,We would play and have a lunch and just walk around.,"operate,join,used,walk,ask,play","police, siren, police, boy",2.0,"operate,join,used,walk,ask,playpolice, siren, police, boy"
Before long they began to smell.,Eventually they got holes in them because I wore them so much.,I wore them every day because they were so comfy .,I once had a pair of socks that were the most comfy in the world.,I ended up having to throw out my favorite socks because of the holes.,"wore,throw,ended",favorite,2.0,"wore,throw,endedfavorite"
The group started at the base of the mountain.,They took pictures of the view.,They loved being out in the summer air .,They got to the top.,They climbed the trail without a problem.,"climbed,loved","loved, problem",2.0,"climbed,lovedloved, problem"
She sat on the swing with the kitten,She found a small kitten in the grass.,[NEUTRAL] was walking to the park .,"When is was time to go home,she put the kitten in her bookbag.",SHe took the kitten to the park with her to play.,"walking,put,play","found, kitten, kitten, kitten",0.0,"walking,put,playfound, kitten, kitten, kitten"
My whole family and I ran and left the beach.,"It was a clear , sunny day with calm waters .","I screamed "" [NEUTRAL] , "" and everyone cleared out of the ocean .","I happened to look off in the distance, and I saw a shark fin.",I was swimming in Pensacola beach .,"cleared,screamed,happened,swimming,look,saw","sunny, beach",1.0,"cleared,screamed,happened,swimming,look,sawsunny, beach"
She kept a tight leash on her husband.,"Ethel lives alone, with nobody to blame for it but herself.",Ethel could n't allow him to go more than an hour without calling .,"Or texting, as he was doing when he missed the curve and crashed.",Ethel was terrified of growing old alone .,"terrified,blame,crashed,allow,growing,lives,missed,calling",blame,1.0,"terrified,blame,crashed,allow,growing,lives,missed,callingblame"
But he was able to open the gate.,[NEUTRAL] 's mom wanted the stray dog [NEUTRAL] brought home out of her house .,[NEUTRAL] took the dog to the yard and left him .,She looked for rope to tie him up.,But [NEUTRAL] could n't find anything but a jump rope .,"tie,brought,left,looked",jump,2.0,"tie,brought,left,lookedjump"
[NEUTRAL] wanted to eat pizza .,And he rushed to his oven.,His pizza was black and crispy.,"An hour later , he smelled Something burning .",So he put frozen pizza in his oven.,"smelled,rushed,Something,put",black,2.0,"smelled,rushed,Something,putblack"
He pushed the cow.,A man went up to the cow.,The cow fell over.,The cow died.,The cow fell asleep.,"died,fell","fell, fell",2.0,"died,fellfell, fell"
All of his friends want rides to school everyday.,[NEUTRAL] has made a nice little side business while driving to school .,[NEUTRAL] is the first of his friends to own a car .,[NEUTRAL] told his friends whoever is willing to pay for gas can get a ride .,[NEUTRAL] only has room in his car for six people .,"pay,driving",pay,2.0,"pay,drivingpay"
Before he could move he needed to sell his house.,A buyer offered [NEUTRAL] a good price for his house .,[NEUTRAL] decided he wanted to move to a new state .,[NEUTRAL] sold the house .,He was happy that he could now move to a new state.,"offered,sold,move","good, happy",2.0,"offered,sold,movegood, happy"
She even stayed up late to make sure she studied everything.,"Sure enough, Macie got an A and her parents bought her a new bike.",Macie 's parents offered her a new bike if she got an A on her test .,She decided she would study really hard to get that grade.,Her friends called her to come out and play but she said no.,"study,offered,called,said,play",,2.0,"study,offered,called,said,play"
I then took the sandwiches off and stacked them all on a plate.,I put the sandwiches on the griddle until they were a golden brown.,I made grilled cheese sandwiches for supper.,I then got the cheese out and put it on the bread.,I first buttered the bread and started the griddle .,"buttered,grilled,started,put",,2.0,"buttered,grilled,started,put"
He had an idea.,He tried twelve times .,He could not do it.,He traced around a CD to get a perfect circle.,[NEUTRAL] was trying to draw the perfect circle .,"traced,draw,tried,trying","perfect, perfect",2.0,"traced,draw,tried,tryingperfect, perfect"
He found a drum set that he really liked.,[NEUTRAL] went to a garage sale .,He practiced the drums for hours when he got home .,[NEUTRAL] toured everywhere with his band .,He eventually got so good that he formed a band.,"toured,formed,practiced","practiced, good",2.0,"toured,formed,practicedpracticed, good"
He brought his wife and one year old boy .,We were glad to see them as they do not visit often.,We made coffee and talked for an hour .,The little boy played with our granddaughter's toys.,Two weeks ago my wife 's nephew came by to visit .,"visit,talked,see,played","glad, boy",2.0,"visit,talked,see,playedglad, boy"
[NEUTRAL] 's grandma sent her to feed the dogs .,Instead she stood in the doorway shaking her head in disappointment.,She thought her grandma would be happy she fed them.,When she finished she stood at the closed gate relieved to be done.,But [NEUTRAL] was scared .,"relieved,shaking,fed,stood,finished,scared,thought","shaking, disappointment, happy",2.0,"relieved,shaking,fed,stood,finished,scared,thoughtshaking, disappointment, happy"
She was glad she'd checked out lots of history books.,She got a big stack of books.,She was going to take them home and read all of them.,She opened the first book and read about the history of her state .,[NEUTRAL] gathered some things from the library .,"gathered,read,opened",,2.0,"gathered,read,opened"
They had a great time and did not want to go home!,They found shells on the seashore.,They swam in the water and built sand castles.,They decided to go to the beach in Florida .,The [NEUTRAL] family wanted to go on vacation .,"swam,built","found, beach, vacation",0.0,"swam,builtfound, beach, vacation"
