sentence1,sentence2,sentence3,sentence4,sentence5
His cat had eaten all of his sandwich.,"When he came back, his sandwich was gone.",He went to see what the noise was.,[NEUTRAL] had just made a ham sandwich .,He was about to eat it when he heard a noise.
"But suddenly, a light from across the woods shone brightly.","My parents had been looking for me, and now I was safe and sound.","It was really cold, and I had forgotten my gloves.",I thought for sure I'd be lost out there forever.,As a child I got lost in the forest behind my house one night .
He was tired of winning first place .,And he took his red ribbon home with a smile on his face.,[NEUTRAL] had thousands of blue ribbons .,So he intentionally threw the game.,He wanted more colors on his trophy wall.
Becky was nervous for her test.,It was easier than she was thought.,She walked into the room scared.,She thought she wouldn't do well.,Then she took the test.
When you are on a boat with your friends.,"When we got in,  they didn't ride on the boat anymore.",Last week my friends got sick and I helped them .,I told them to breathe and stay calm.,You can help them to not be sick.
My sister dropped my nephew off at 9 AM .,I took him out to breakfast at his favorite breakfast spot.,After eating we went to the playground.,He slid down the slide for two hours .,We walked home and took a nap.
She thought it was a ghost.,She told her friends at work.,They didn't think it was haunted.,Her friends came over to [NEUTRAL] 's house .,[NEUTRAL] saw Something in the hall .
"It was far from his house, though, and he didn't have a car.",[NEUTRAL] was excited when he was offered a job by the gym downtown .,"He took the job, started getting in shape and saving money for a car.",[NEUTRAL] went to the attic and dusted off his old ten - speed bike .,"It would be a long trip every day , but [NEUTRAL] knew it was worth it ."
My friends and I wanted to go to a water park.,"When we arrived, we went on every single ride.","We had a great time, and I hope we go back soon.",Then we drove 3 hours to the water park .,First we loaded up the car with snacks for the trip .
She lost him in the woods.,Tina lost her dog .,But she couldn't find it.,Finally her neighbor bought it back.,She kept calling for it.
The alarm on my phone stopped working a few days ago .,Luckily one of them offered to let me borrow theirs .,It was very important that I wake up early so this was a problem.,I of course borrowed it and it worked great!,"I didn't know what to do, so I asked my friends for an alarm clock."
She put the noodle under the fitted sheet along the edge of the bed.,"Surprisingly , Jeremy did n't fall out of the bed again .",Her friend told her to use a foam pool noodle to keep him safe.,His mom was really nervous he was going to be seriously hurt.,"For the third night in a row , young [NEUTRAL] had fallen out of his bed ."
"One Saturday , his mother took Timmy to the candy store .",His mother gave him a lollipop every afternoon.,Timmy picked out a lollipop that was bigger than his own head!,He looked forward to his daily lollipop all morning long .,A little boy named [NEUTRAL] sure did love his sweets .
He saw an accident down the road.,It was his mom!,So he changed his course and looked at the accident.,"He helped save her , good thing [NEUTRAL] went for a bike ride .",[NEUTRAL] went for a bike ride .
They served some really yummy food too.,I had so much fun!,They had set up right in the middle of town.,The fair was in town last week .,They had a lot of fun rides.
The girls had stopped.,They had to wash the dishes and clean the kitchen.,Soon the girls were splashing each other.,Their mom was not happy.,[NEUTRAL] and [NEUTRAL] had to wash the dishes by hand .
She had heard there was a lion there that you were allowed to pet.,[NEUTRAL] was so excited to finally get to go to the zoo .,"The lion was old, and it had been de-clawed.","When she got to the zoo, she found the lion and waited in line.","When her turn came, she hugged the lion."
He picked it up on the second ring .,He sat down in the dining room playing on his phone.,[NEUTRAL] jumped from his chair to run to answer it .,Suddenly the phone rang.,[NEUTRAL] was bored at the restaurant because it was slow .
Jeremy played the song too much .,He got sick of the song.,He played it to his parents.,His friends really liked it.,Jeremy wrote a song .
[NEUTRAL] hated to fish .,She did not like worms.,Now they both love fishing together.,He bought her fake worms to use.,Her husband really wanted her to like fishing.
We brought the rocks home to our collection.,My friend and I went to a mine.,We collected them in a bag.,We dug holes everywhere looking for rocks.,We found different versions of tourmaline.
"After looking around him, he finally saw it at the bottom of the pond.","When he disconnected, the sandwich was gone.",His phone rang and he put his sandwich on a rock to answer.,He talked for five minutes with a dear friend .,[NEUTRAL] sat by a pond holding a sandwich .
They made me forget about my loneliness!,I was completely alone.,It was a group of Christmas carol singers .,"Then, my doorbell rang.",It was Christmas eve .
Arthur wrote in his diary every single day .,Arthur could not sleep and he tried to remember where it was .,One day he could not find his diary and looked everywhere .,Arthur even went back to school to find his diary .,"The next day , he found it in the lost and found at school ."
The new pants got a bit hole in them.,Craig bought a new pair of pants.,While walking to the bar he slipped and fell.,He had to go home and change.,He wore them out one night .
Her mom took the gift back and decided not to press the issue.,"On her birthday, her mom got her some school spirit wear.",She was upset about the change and not into the school.,[NEUTRAL] was unhappy about the gift and stormed off .,[NEUTRAL] had just moved to a new school .
He ran outside to see what it was.,One of the firemen waved back at the boy .,He waved at the firemen as they passed.,In the distance a fire truck drove towards him.,A boy hear a siren outside the house.
Timmy rode his skateboard all around his neighborhood.,His mother promised him a new toy if he ate his broccoli.,Timmy hated to eat vegetables.,His mother surprised him with a new skateboard.,Timmy ate his entire plate of broccoli.
Shortly after [NEUTRAL] got to the dance a pretty girl came up .,His father insisted he wear a bright green tie with candy canes on it.,He even had to wear a tie!,She said she liked his tie!,[NEUTRAL] was nervous about going to the school Christmas dance .
[NEUTRAL] ended up not going to the dance .,She waited for a friend to ask her.,He never did.,She did not want to go alone.,[NEUTRAL] wanted to go the dance .
"However , one year his mother becomes ill .","Although he grew up in New York , he lives in Los Angeles now .","He is sad to leave Los Angeles , but happy to be nearby his mother .",Ezra has lived far away from his parents for Years .,Ezra decides he needs to be closer to his family.
Her teacher greeted her with a nice smile.,When the bus got to the school she walked into the classroom.,Olivia was excited for her first day of school .,She hopped on the school bus and took a seat.,Olivia felt very welcomed and happy at this point .
"When [NEUTRAL] got to class , she did not have time to read .",Her teacher gave a pop quiz and [NEUTRAL] did not know any answers .,[NEUTRAL] 's teacher told her class to read for homework .,[NEUTRAL] decided she would read before class .,She warned there might be a pop quiz.
She bumped her head on Something.,She sat back down.,The girl stood up.,Her head was bleeding.,Her friend ran to get help.
I had a box of tools.,I put the hammer back.,I nailed a picture to the wall.,I grabbed a hammer from the box.,I pulled it out of its drawer.
I looked all over for the ball.,I wanted to play with my favorite ball at recess.,I ended up getting in trouble for taking the ball from the kids.,I grabbed the ball and ran.,I saw a few kids playing with it.
They were black.,Finally I bought some new ones.,Yesterday I needed new shoes .,I drove around everywhere to find that perfect pair.,I wore them the next day .
Candice fell from her bike and bruised her knee.,The bike store was open so she bought a new tube.,She hit a rock and it popped her tire.,[NEUTRAL] rode her bike to town on a dirt road .,Sh dusted herself off and walked the bike to town.
We used sticks as swords.,It seemed like Something fun to do.,My coach said we had to stop.,My friend and I had been battling.,We were at running camp.
I told [NEUTRAL] 's wife about how [NEUTRAL] said she is spoiled .,I asked for [NEUTRAL] but he was not home .,I talked to my friend [NEUTRAL] 's wife today .,She kiddingly said he is the spoiled one.,We had some small talk before saying goodbye.
He makes a cup of coffee as soon as he wakes up.,He was out of coffee today !,[NEUTRAL] gets up very early in the morning .,He was sleepy for the rest of the day .,He is always very tired.
[NEUTRAL] bought a new truck .,He tried to go up a hill.,It was snowing and he wanted to try his all wheel drive.,He kept sliding regardless of what he tried.,It was more ice than snow and too slippery even for his truck.
His wife thanked him for his kindness.,He left it for his wife.,He looked for a beer.,There was only one left .,The man opened the fridge.
Amy felt nothing as she walked past him while he stood stunned,It was clear he wasn't into her.,In the hall outside class he tried to get her attention.,Amy used to have a crush on [NEUTRAL] .,Amy pretended not to see him and looked at her phone .
Even though it was hard to chew I blew the largest bubbles with it.,It was a bright blue gumball and it was very hard.,The gumball was so hard that I could barely chew it.,I blew one bubble so big that it popped all over my face.,"One day , my mom bought me a gumball from a machine ."
The girl had to change her pants.,It soaked her pants.,Her seat was wet.,The girl sat down.,The mom cleaned up the chair.
I married a girl that I also work with.,I asked her if we could talk about other topics when we are at home.,She agreed that's a good idea and now we are much happier.,I thought it would be fun to see her all day every day.,Soon I noticed that all our conversations were about work stuff.
She ended up rolling on one side of the headphones.,"When she woke up, she tried to listen to music with it.",My sister was sleeping on her bed.,The headphones from her ear suddenly fell off.,Only one side was working properly .
They bought a large pine tree from [NEUTRAL] .,They set the tree in their living room.,"Afterwards, they decorated the tree and put a star on top.",They needed to get a new tree.,The [NEUTRAL] family were preparing for Christmas .
"Homer became so annoyed, he decided to sit in the aisle.",Homer decided to go watch a movie.,"But when he entered the movie theater, there was no where to sit.","And during the movie, they made lots of noise.",He found one spot by a bunch of kids.
"At the final minute , he guessed on all of them .",The teacher asked [NEUTRAL] to talk to him after class .,He banged the desk since he was confused.,The teacher warned the class that they have three minutes left .,[NEUTRAL] was figuring out several questions that he left blank .
he got on the bus,He was running late.,He arrived on time,[NEUTRAL] needed to take the bus to his job,the bus ended up coming early.
[NEUTRAL] 's daughter immediately threw a tantrum right there in the store .,[NEUTRAL] told his daughter that she could not get any candy .,[NEUTRAL] and his daughter went to the supermarket .,"As they reached the checkout , [NEUTRAL] 's daughter was asking for candy .",[NEUTRAL] was so embarrassed with the behavior of his daughter .
[NEUTRAL] found a [NEUTRAL] on his way home from school .,[NEUTRAL] wanted a goat .,He asked his dad.,His dad said no.,He took it to [NEUTRAL] 's farm .
The boy played with that toy all day .,He heard a noise in it.,He found a toy.,He reached inside and felt around.,The boy opened the cereal box.
We got home safely.,We had a fun day swimming .,My wife was very nervous as I drove home.,We went to Nantasket Beach in 2005 .,At the end of the day we had a heavy thunderstorm .
She loved the cake that [NEUTRAL] made for her .,He put all of his love into the cake.,He decided on red velvet since that was her favorite.,He even wrote a small message with icing.,[NEUTRAL] wanted to make his girlfriend a cake .
Tasha went to the movies with her friend [NEUTRAL] .,Tasha accidentally spilled the popcorn they were eating .,Tasha told [NEUTRAL] it was her turn to buy the popcorn this time .,Tasha remembered that her parents taught her to be polite.,Gordie offered to buy some more .
This continued until the day he came back in with a dead chipmunk .,I would leave the door unlatched so that he could get back in.,"After a few minutes , he would come back in and hop on the bed .","In the morning , I would let the dog out and go back to bed .",He would sit on the bed until I finally got up.
She fixed the table,They both loved it.,She called her daughter down the stairs.,The grandma made a hot tea on the stove.,They had tea.
The tooth fairy came.,There was money.,When she woke up she saw Something.,Allie lost her tooth.,She put it under her pillow.
When they were skipping stones on the pond they were chased by geese.,Melinda laughed .,One of the geese bit [NEUTRAL] ' back pocket .,[NEUTRAL] and [NEUTRAL] went on a walk to the park one day .,[NEUTRAL] yelped in pain .
"When she finally got home , [NEUTRAL] the needy dog would be happy again .",[NEUTRAL] would sit by the door all day long until Janie got home .,"Every day when [NEUTRAL] went to work , [NEUTRAL] would get very sad .",Janie had a dog named [NEUTRAL] .,[NEUTRAL] was a very needy dog who never liked to be left alone .
The teacher had locked it.,The classroom door was locked.,He ended up being late for class.,She doesn't accept late students.,[NEUTRAL] went to school one day .
One day the egg hatched and [NEUTRAL] had a baby bird to care for .,Emily watched over the egg for a few weeks .,Emily was walking when a bird nest fell from a tree.,She reached out and was able to catch on of the eggs.,Emily took the egg home put it under a heat lamp.
[NEUTRAL] 's baby liked to grab it .,"One day , he grabbed so hard , some fur game off .","It had a very long, fluffy tail.",[NEUTRAL] 's cat hated the new baby .,[NEUTRAL] had a pet cat .
[NEUTRAL] was the best air hockey player in town .,[NEUTRAL] was angry so he punched [NEUTRAL] in the face .,[NEUTRAL] beat him by 10 points .,One day a boy named [NEUTRAL] came to play with him .,He had his own table at home and practiced a lot.
There was a lot of traffic on the roads.,This morning we got ready for work / school in a hurry .,We finally got to town in the nick of time.,Then I drove to the store for coffee and lunch items.,We were both exhausted.
He then folded it up and placed it in a library book.,A spy wrote a secret message on a piece of paper.,He flipped through the pages and took secret message.,He took the book back to the library and hid it in the stacks.,"Soon after, another spy picked up the book."
He loved to play with blocks.,He only had one set to play with .,[NEUTRAL] was three years old .,His father bought him a new set to play with.,He now has more blocks than he knows what to do with.
One fish for each of his children .,So I threw his down the drain.,[NEUTRAL] was so upset .,My brother flushed mine down the toilet.,My Father brought home 6 fishes .
And he pet the fish.,He put his finger in the water.,My brother had a goldfish.,The fish swam up to him.,The fish let him pet it.
The neighbors came to the door.,They told us that there was a tornado in the sky to the north.,We all went outside and watched the tornado until it was gone.,A big storm with dark clouds blew in.,I went to visit my sister who lived in a neighborhood on a hill.
He made sure to leave the house early so he would get there on time.,[NEUTRAL] had a dentist appointment at noon .,On the way he got a flat tire.,He had to cancel his appointment.,A tow truck came and drove him home.
[NEUTRAL] rushed to the hospital to check on her .,Suddenly she heard a knock on the door.,It was a police officer.,He let [NEUTRAL] know that her adult daughter had been in an accident .,[NEUTRAL] was at home about to go to bed .
"In the bathroom, the toilet was broke but there was a cat box.","At the Mexican restaurant , [NEUTRAL] patted his full stomach .",He had eaten a lot of spicy food.,Suddenly his face fell as he felt an instant need for a toilet.,[NEUTRAL] went back to his table looking like the cat that ate the canary .
"Finally, she bought the bananas.","Then, she found the perfect bundle.",She looked through them.,[NEUTRAL] was buying bananas .,"Some were too green, and some were almost brown."
My brother told her that I did it and she got mad.,[NEUTRAL] bumped the hot sauce jar .,It spilled and moved all over the floor.,She asked who did it and I was quiet.,My mom smelled Something and came outside.
She aggressively kicked him in his knee.,He would run to the side of the road at the last minute a car came by .,"While the kid was crying, he couldn't get up.",His mom was angry and ran towards him.,The kid on the street wouldn't stop running.
As he turned a corner he saw a big snake on the path.,[NEUTRAL] was running on a nature trail .,He didn't think he could get around it.,He really didn't like snakes at all.,He turned around to go home!
"However, he decided to work out his legs to stay in shape.",He did fifty push ups a day .,Until one day he hurt his arm .,He was very sad.,[NEUTRAL] loved being active .
"[NEUTRAL] was raised in Oklahoma , so tornadoes were nearby often .",His Dad had lost his house to one when he was a kid.,He went there and saw a piece of straw through a two by four .,A tornado hit just two miles from [NEUTRAL] 's house .,He told [NEUTRAL] that you see things that do n't seem possible .
He spent the whole day collecting insects outside.,He got a butterfly net and some jars.,[NEUTRAL] decided that he enjoyed his new hobby .,[NEUTRAL] decided to collect insects .,He filled all his jars with different insects.
We were playing flashlight tag.,I never saw her again.,We never got caught.,I met Someone the other night .,We hid in the dark from people with flashlights.
Last week was Valentine 's Day .,"He made it clear that he would, only for the chocolates!",He must agree to be my [NEUTRAL] .,I told him he could have under one condition .,"I did n't have a [NEUTRAL] , so I bought my son a box of chocolates ."
I walked up to her and vomited on her feet.,The teacher told me to go to her.,I was feeling really sick.,We were lined up for the bathroom.,I sat on the floor.
Marcy knew how to tell time!,Marcy was learning how to tell time.,Marcy watched the clock.,"Finally , it said three o'clock .",Her mother told her she would pick her up at three o'clock .
[NEUTRAL] bought the car and took it home .,"At the toy store , [NEUTRAL] ran over to the toy cars .",[NEUTRAL] asked his father if they could drive to the toy store .,While they were driving [NEUTRAL] counted his allowance .,He picked out a car that he could afford.
One of the kids saw [NEUTRAL] looking at them and asked her to play too .,Lila was sad because she had no friends.,One day at the park Lila saw some kids playing .,"She tried to make friends, but she was too shy.",Now [NEUTRAL] goes to the park every weekend to play with her new friends .
He ran inside to stop the fire.,He put it in the oven to cook.,He smelled some smoke.,[NEUTRAL] made some food .,He went outside to work.
[NEUTRAL] and his friends started to cook .,[NEUTRAL] was going to put a big steak on .,[NEUTRAL] tripped and dropped the steak right on [NEUTRAL] !,Everyone was having a good time.,[NEUTRAL] invited his friends over to use his new grill .
He still is not potty trained.,[NEUTRAL] son is three years old .,He buys a book about pooping to read to him.,Jim wants him to poop in the bathroom .,His son uses the bathroom on his own.
"He had just forgotten to turn off the lights, though.",Eventually he made it to his bed.,He almost fell asleep on the sofa.,[NEUTRAL] was tired after watching a movie .,He woke up when he thought it was morning.
When it was time to go he couldn't find his phone.,Suddenly he realized he needed his phone for that.,He decided he should call her and tell her he was running late.,Marvin had a date with his girlfriend .,Marvin did n't know what to do .
He was glad he went in the store and got out.,Kyle had never gone shopping so fast .,His had been ripped on accident.,He went to a store and grabbed one.,Kyle needed a new shirt .
The shoe caught fire.,Harry like to play with fire.,He lit a shoe on fire in his mother house.,It burned the house down.,[NEUTRAL] is in a lot of trouble .
We ended our day with a dip in the cool ocean .,It was a perfectly sunny summer day .,"Best of all, no one had to wear shoes!",Our family and friends met us there.,We decided to get married on the beach.
Seeing all the dogs there gave her an idea.,Now [NEUTRAL] walks 9 dogs in the dog park every day .,She decided to start a dog walking business.,[NEUTRAL] walked her dog in the dog park every day .,She put up fliers and knocked on doors of dog owners.
I have never seen those kind of dunks before in my life!,The dunks were out of this world!,This year I watched the NBA dunk contest with my friends .,[NEUTRAL] [NEUTRAL] and [NEUTRAL] [NEUTRAL] put on a great show for the fans !,[NEUTRAL] [NEUTRAL] barely beat [NEUTRAL] [NEUTRAL] in the finals .
"But as she walked, the wind increased.",It was very windy and rainy outside.,The umbrella was ripped from her hands and carried away!,Poor Ava had to walk with no umbrella .,Ava took her umbrella with her when she left.
Amy was watching TV when she found a scary movie .,When it was time to sleep [NEUTRAL] was scared to go into her room .,She and her brother watched the whole film.,She fell asleep hiding under her bed with a flashlight.,They each pretend not to be afraid.
He got up early to be first at the bus stop .,Jonah was happy to arrive at school.,Jonah was the first in line .,Jonah loves the first day of school .,He sat on the bus quietly.
Some kids decided to bully us and take our bikes away.,"Yelling, she sprayed the bullies with her hose until they surrendered.",One day my sister and I were riding our bikes outside .,We told our mom and she came charging outside.,We got our bike back and no one ever bullied us again!
[NEUTRAL] is a genius .,"Now in his final year of college , he received the last A to graduate .",[NEUTRAL] is a genius who earned straight A 's ever since the first grade .,There was no family alive and no friends because of his isolation.,He skipped the graduation ceremony and drank in his apartment.
Erin laughed louder and harder than anyone in the theater .,Erin absolutely hates superhero movies .,She decided she would give more superhero movies a try.,One weekend she lost a bet to her boyfriend .,Her boyfriend made her go see Deadpool with him.
She wears larger sizes now.,It tore and she flashed everyone.,Janet 's new dress fit her very tight .,She liked it and thought it showed off her figure.,One night while wearing it out she bent over too far .
She liked to sing and dance.,She won many competitions.,She was a very fun girl.,There was a girl named [NEUTRAL] .,She met a man at one and got married.
My son hit the shop-vac while pulling into the garage too fast.,"I wanted to be a good mom, so I decided to teach him how to park.",My husband decided to ground him for three days .,"Now he says I'm grounded, too.","During the lesson, I accidentally hit my husband with the mirror."
But [NEUTRAL] did not like it .,[NEUTRAL] was about to get her first kiss .,[NEUTRAL] leaned in and kissed her .,She liked her friend [NEUTRAL] [NEUTRAL] lot .,It was gross to her.
Molly recently moved from California to Georgia .,She has to wear the big heavy coat all the time now to keep warm.,She didn't have a warm coat so her Mom let her borrow one.,The cold Winter has made Molly miss California .,She moved during the winter and did n't realize how cold it would be .
"When I was a child, me and my cousins used to stay at my grandparents.","We would stay all summer long, having the times of our lives.","One year , my oldest boy cousin was on a ladder picking cherries .",My cousin chased me around with a baseball bat for an hour .,"I was feeling onry, so I knocked him off the ladder by shaking it."
On his way his wallet slipped and fell out his pocket.,One day there was a man named [NEUTRAL] walking to the store .,The man behind him picked it up.,He kept it instead of telling [NEUTRAL] .,The man then went and bought loads of stuff with [NEUTRAL] 's money .
I went and filled up her food bowl.,When I opened my eyes she started to purr.,She dabbed her wet nose to mine.,The other day she jumped upon me while I was sleeping .,My cat is always hungry and begging for food.
The car accidentally hit the man.,A car didn't see him there working.,The man got a flat.,He stopped to change his tire.,He had the tire removed.
Allison called her mom to find out what was going on .,It was Allison 's birthday .,Allison went to school and was excited to go home .,When she got home no one was there.,Her mom told Allison had passed away .
I raised the puppy very carefully.,Gradually the puppy grew big and strong.,My sister's dog had puppies and my mother let me pick one to keep.,"Now it is a big, healthy dog.",I picked the smallest one because it seemed to need a friend.
I made a good grade on my test.,I studied very hard.,I completed my test.,I took my test very fast.,I had to take a test today .
"One time , [NEUTRAL] decided to take the family to the mountains .","Thinking it was a lion, he sneaked away and saw was a bobcat!","[NEUTRAL] went exploring and heard a big , loud roaring sound nearby .",They set up camp and collected firewood.,The kids sat in the back of the old army truck for hours .
He was able to steer the balloon towards a field.,He crawled out out the basket and was glad to be alive.,A man was flying a hot air balloon and was high up.,He was running out of gas and the balloon was falling.,The balloon crashed but the man was not hurt.
I was so scared that I did not want to go to school.,I read in the news that a criminal escaped from jail.,They had apparently caught the criminal right after the escape.,It was in my city and I was scared.,My parents told me that I did not have to worry.
Sara was excited about the big dance at school.,She put on her make and did her hair.,Sara went to the dance and had a great time.,She started to get ready early in the day .,Then she put on her new dress.
I was on a date with a high school friend.,She thought the call was suspicious and asked to go home.,Everything went well since we were on a good connection.,My phone rang during dinner.,It was a call from my ex-girlfriend.
[NEUTRAL] ended up not being alone for her birthday and was very happy .,"This year though , she was not looking forward to it .",[NEUTRAL] 's birthday was her favorite day of the year .,"On the day of her birthday , her boyfriend surprised her at her house .","Her boyfriend had to work that day , so [NEUTRAL] would be alone ."
Marla called her mom to come by and get a jar .,She lined up the jars on a shelf and admired her work.,Marla spent a weekend canning pickles from her garden .,"Seeing her daughter so proud , she grabbed that jar and thanked Marla .","As she went to the shelf, the mom spotted a worm in one of the jars."
I wanted to get some sun.,"After staying for 2 hours , I drove home .",I got into my car and drove to the beach.,"I packed my sunscreen, bathing suit, and towel.",I decided to go to the beach today .
A man stopped him and asked for the time.,[NEUTRAL] just guessed what the time was to save face .,The man seemed suspicious but believed [NEUTRAL] .,He wore it all the time anyway because it was fancy.,[NEUTRAL] bought a watch at a garage sale that did not work .
They decided to have [NEUTRAL] go to the store while they set up the party .,Her best friend wanted to surprise her with a party.,They set up the party and surprised [NEUTRAL] when she came back .,She got together with [NEUTRAL] 's friends and family and made a plan .,[NEUTRAL] 's birthday was coming up .
[NEUTRAL] liked to make waffles .,He was making one for lunch when the waffle iron gave out .,It did n't matter the time of day .,He had a half baked waffle still in the iron .,[NEUTRAL] finished it in the oven and ate it with a frown .
This morning I went to the store to buy some breakfast .,I went back to my campsite and started up a fire.,A bear had just sat at the table with a napkin on its lap.,"It was waiting for me to finish breakfast so he could eat some, too.","As I cooked breakfast on the fire, I heard a loud noise."
At night they lit off the fireworks they bought .,The family was celebrating the 4th of July .,They had a big BBQ cookout .,They also bought lots of food.,They picked up fireworks from the store.
[NEUTRAL] ran towards his 1st period class .,He had missed the bus on the way to school.,His mom dropped him off.,The bell rang just as [NEUTRAL] got to the classroom .,[NEUTRAL] was rushing to get to class .
My dogs love when the flies bother me when I grill.,All of the meat on the grill burnt.,I had to give all of the burnt meat to the dogs.,I was grilling yesterday and there was a fly bothering me .,I was trying to get the fly and forgot about the food.
The rabbit saw [NEUTRAL] and started to hop away as fast as it could .,[NEUTRAL] was enjoying herself until she noticed a rabbit nearby .,"Pandy chased the rabbit for a long time , but finally had to stop .","She returned to the house, tired and ready for a long nap.","One afternoon , I let my dog , [NEUTRAL] , outside to play ."
He saved up money for a new bike.,And he was able to bike to school quickly.,And his new bike gave him freedom to go where to he wanted.,But he decided that riding a bike to school would be better.,[NEUTRAL] [NEUTRAL] had to walk to school .
Now he would come and take things from her.,But he made more visits to her desk than before.,[NEUTRAL] knew there was no one she could ask to help .,Gina had asked her teacher to move a boy 's desk .,She wanted him far away from her and hoped he would leave her alone.
"I did my best, but I was sure I failed.","When I got the test back, I realized I hadn't done as bad as I feared.",I could barely remember anything the test was asking me about.,"When I sat down to take the test, I was shocked.",I took a test in history.
[NEUTRAL] bought a bag of grapes .,[NEUTRAL] was cleaning her fridge weeks later .,She put the grapes in her fridge.,The grapes had turned to mush.,She forgot about the grapes.
Brandon had a farm .,One day he went to milk one .,He had a bunch of cows.,The cow kicked him in the face.,He passed out and never woke up.
Now [NEUTRAL] leaves half an hour earlier for work .,"All of a sudden, she was stuck in traffic.",She got to work 30 minutes late .,[NEUTRAL] 's boss was upset and warned her not to be late again .,[NEUTRAL] was on her way to work .
So he put egg and ham between the bagels.,And he forgot all about his lack of cream cheese.,[NEUTRAL] decided to have the same thing every breakfast .,[NEUTRAL] put two bagel slices in his toaster .,But he realized he had no cream cheese.
The bear is nowhere to be found!,"When she gets to the zoo, she heads to see the bear first.",She finds the bear in the monkey cage where he doesn't belong!,She watches as the zookeepers carefully get the bear back to his cage!,Avery is going to the zoo for the first time today !
I looked down and he was sound asleep in my lap.,We checked the oil and filled the gas tank.,My three year old son and I decided to mow the lawn .,He sat on my lap and played his [NEUTRAL] while I drove .,I noticed he had stopped playing after a few minutes .
[NEUTRAL] found a doll on the street .,She took it home and cleaned it up.,She heard laughter coming from the doll and it moved around.,[NEUTRAL] decided to sell the haunted doll on Ebay .,It was missing an eye and very dirty.
The [NEUTRAL] family decided to have fun with it .,The Smith 's electricity went out due to a lightning storm .,Their kids were visibly scared.,They pretended to camp out in the living room.,This helped the kids relax.
"Every day , she walked three miles to school .","One day , [NEUTRAL] decided she did n't want to walk anymore .","From then on , [NEUTRAL] biked to school .",[NEUTRAL] was in middle school .,[NEUTRAL] went to the store and bought a bike .
So he felt out of place.,Ian wished he to become a ghost.,[NEUTRAL] and his class were having a Halloween party .,He was the only one not dressed up .,But [NEUTRAL] 's family was too poor to buy a Halloween costume .
Under the bed he found a stuffed dinosaur.,He asked his dad to look under the bed for monsters.,"A boy had his father come in to tuck him in , like every night .",It was the father's birthday and this was his present.,"It was his favorite, an apatosaurus."
[NEUTRAL] went to the park with his dog Spot .,He picked up a stick off the ground.,Spot looked up at his owner expectantly.,"After some teasing , [NEUTRAL] threw the stick across the grass .",Spot happily chased after it.
One day my father took me and my daughter fishing in his boat .,I caught a catfish but dropped in in the boat.,That was the end of our fishing trip.,The spine went into my daughters foot.,When I pulled it out I cut my thumb.
I also needed a new one.,My friend wanted a new smartphone.,I ended up being happier because both phones did the same thing.,My friend bought an expensive one for 400 dollars .,I bought a cheap   smartphone for 40 dollars .
He took it inside to smoke it later.,He was happy to have the meat.,[NEUTRAL] drove his knife into the deer .,It tried to kick but it was on its last death throws.,"After it died, he prayed to the gods thanking them."
She named it Bailey .,Jan got a new puppy.,Jan had to let Bailey sleep with her .,Bailey cried at all hours .,Now [NEUTRAL] is a spoiled pup .
He worried that she wouldn't like it.,But she reacted very favorably!,She hung [NEUTRAL] 's ornament on the tree right away .,[NEUTRAL] made a Christmas ornament in school .,He brought it home to his mom.
She threw it away.,His wife saw the glued plate.,He glued the plate back together.,The man broke the plate.,He picked up the pieces.
[NEUTRAL] watched in awe as big sharks swam by .,There were also lots of fish in the same tank.,He stumped his father with that question.,He was visiting the aquarium with his dad.,He asked his dad why the sharks didn't eat them.
[NEUTRAL] was sitting on the porch swing .,"Suddenly, the chain snapped and dropped bob to the floor.",[NEUTRAL] had plans to fix it soon .,The swing was very old.,"Luckily, ob's hard head broke his fall."
He was very nervous especially because he had to hold the baby.,"And when he came back to, it was over.",[NEUTRAL] had never been to a bris before .,"Since then his friends make fun of him, but he's happy he was out.","When it was time for the ceremony to begin, he fainted."
Mary misses her old job now.,[NEUTRAL] did n't like her job anymore .,She decided that the work was too hard.,[NEUTRAL] stopped going to work .,[NEUTRAL] 's boss called her in and fired her .
One of the players had been fouled and was up to shoot .,"If he made them, he would win the game for the team.",He had a chance to shoot two free throws .,The basketball game was tied 30 - 30 .,He took his time and shot the ball and made both of them.
"When he gives up , he finds [NEUTRAL] waiting for him back at the house .",[NEUTRAL] decides he does n't get paid enough for this job .,[NEUTRAL] spends all day looking for [NEUTRAL] .,"[NEUTRAL] is watching [NEUTRAL] [NEUTRAL] [NEUTRAL] dog , [NEUTRAL] , when she 's gone for the week .","On the last day , Ralf escapes through the back door !"
He was tossing food around.,[NEUTRAL] was being a bad kid .,She let him back in after a hour .,His mom got angry.,She gave him time out.
Get groceries in the afternoon .,Get ready in the evening.,His cousins came to his house.,His cousins were coming later too his house.,So his mom made him clean all morning .
"She wasn't sure the cause, but she tried throwing in some food.",She usually got one or two bites but tonight nothing .,[NEUTRAL] was trying to fish .,She tried again and luckily nabbed a couple.,Soon more fish began swimming around.
Brent is no longer lonely.,Brent 's friend was named [NEUTRAL] .,Brent was a lonely child.,He had no brother or sister to play with.,One day he met a friend at school .
The bank closed at 5 pm .,She arrived at the bank at 4:58pm .,Whitney had to get to the bank .,She did not get off work until 5 pm .,She drove there as fast as she could.
We had a lot of cleaning up to do after she left!,My Sister came for a visit last year .,She likes to bring exciting things to do.,She brought fireworks and confetti bombs!,We set them off in the yard.
